
="",="(1)",="(2)"
="",="unem_fin",="unem_fin"

="networthS",="-0.00016",="-0.000077"
="",="(0.00005)",="(0.00005)"

="logearn",="",="-0.010"
="",="",="(0.002)"

="N",="18874",="18874"

="Standard errors in parentheses"
